SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Abronia latifolia,Yellow sandverbena,Eschsch.,4,y,,,,
Abronia mellifera,White sandverbena,Dougl. ex Hook.,3,y,,,,
Abronia turbinata,Trans montane abronia,Torr. ex S. Wats.,2,y,,,,
Abronia umbellata ssp. breviflora,Pink sandverbena,Lam.,1,y,,,,
Adiantum jordanii,California maiden-hair,C. Muell.,2,y,,,,
Agastache cusickii,Cusick's giant-hyssop,(Greenm.) Heller,2,y,,,,
Agoseris elata,Tall agoseris,(Nutt.) Greene,2,y,,,,
Agrimonia gryposepala,Tall hairy groovebur,Wallr.,2,y,,,,
Agrostis blasdalei,Cliff bentgrass,A.S. Hitchc.,1,y,,,,
Agrostis densiflora,California bentgrass,Vasey,2,y,,,,
Agrostis hendersonii,Henderson's bentgrass,A.S. Hitchc.,1-ex,y,,,,
Agrostis howellii,Howell's bentgrass,Scribn.,1,y,,,,
Allenrolfea occidentalis,Iodine bush,(S. Wats.) Kuntze,2,y,,,,
Allium bisceptrum,Two-stemmed onion,S. Wats.,4,y,,,,
Allium bolanderi var. bolanderi,Bolander onion,S. Wats.,2,y,,,,
Allium brandegeei,Brandegee's onion,S. Wats.,3,y,,,,
Allium dictuon,Blue Mt. onion,St. John,1,y,,,,
Allium geyeri var. geyeri,Geyer's onion,S. Wats.,2,y,,,,
Allium nevii,Nevius' onion,S. Wats.,2,y,,,,
Allium peninsulare,Peninsular onion,J.G. Lemmon ex Greene,2,y,,,,
Allium robinsonii,Robinson's onion,Henderson,2-ex,y,,,,
Allium sanbornii var. sanbornii,Sanborn's onion,Wood,3,y,,,,
Allium unifolium,One-leaved onion,Kellogg,4,y,,,,
Allophyllum gilioides,Straggling gilia,(Benth.) A.& V. Grant,3,y,,,,
Alopecurus saccatus,Pacific meadow foxtail,Vasey,3,y,,,,
Ammannia robusta,An ammannia,Heer & Regel,2,y,,,,
Amsinckia carinata,Malheur Valley fiddleneck,A. Nels. & J.F. Macbr.,1,y,,,,
Amsinckia spectabilis var. spectabilis,Seaside amsinckia,Fisch. & C.A. Mey.,3,y,,,,
Androsace elongata ssp. acuta,Long-stemmed androsace,L.,2,y,,,,
Anemone multifida var. tetonensis,Cliff anemone,Poir.,3,y,,,,
Anemone oregana var. felix,Bog anemone,Gray,2,skip,Anemoides oregana,n,wider distribution than we are interested in; needs manual review of iNat records,
Anemopsis californica,Yerba mansa,(Nutt.) Hook. & Arn.,3,y,,,,
Angelica tomentosa,Woolly angelica,S. Wats.,3,y,,,,
Antirrhinum kingii,King snapdragon,S. Wats.,2,y,Sairocarpus kingii,y,"ORBIC updated name, Sairocarpus also used by OregonFlora",
Antirrhinum vexillo-calyculatum ssp. breweri,Brewer's snapdragon,Kellogg,2,y,Sairocarpus vexillocalyculatus ssp. breweri,y,ORBIC updated to S. vexillocalyculatus ssp. breweri per OregonFlora 2.3 checklist,
Aphyllon ludovicianum,Suksdorf's broomrape,(Nuttall) A. Gray,2,y,,,,
Arabis furcata,Cascade rockcress,S. Wats.,4,y,,,,
Arabis koehleri var. koehleri,Koehler's rockcress,T.J. Howell,1,y,Boechera koehleri,n,will need to split by geography. OregonFlora no longer recognizes var.,
Arabis koehleri var. stipitata,Koehler's stipitate rockcress,T.J. Howell,4,y,Boechera koehleri,n,will need to split by geography. OregonFlora no longer recognizes var.,
Arabis macdonaldiana,Red Mountain rockcress,Eastw.,1,y,Arabis mcdonaldiana,y,"ORBIC updated name, matches OregonFlora",
Arabis modesta,Rogue Canyon rockcress,Rollins,2,y,,,,
Arctostaphylos hispidula,Gasquet manzanita,T.J. Howell,2,y,,,,
Argemone munita,Prickly-poppy,Dur. & Hilg.,2,y,,,,
Arnica viscosa,Shasta arnica,A. Gray,2,y,,,,
Artemisia campestris var. wormskioldii,Northern wormwood,L.,1-ex,y,Artemisia campestris ssp. borealis,n,"keep ORBIC name, matches OregonFlora",
Artemisia estesii,Estes' artemisia,K.L. Chambers,4,y,,,,
Artemisia packardiae,Packard's artemisia,J. Grimes & Ertter,4,y,,,,
Artemisia papposa,Owyhee sagebrush,Blake & Cronq.,2,y,,,,
Artemisia pycnocephala,Coastal sagewort,(Less.) DC.,2,y,,,,
Asarum wagneri,Green-flowered wild-ginger,Lu & Mesler,4,y,,,,
Asplenium septentrionale,Forked spleenwort,(L.) Hoffmann,2,y,,,,
Asplenium trichomanes ssp. quadrivalens,Large spored spleenwort,L.,3,y,,,,
Asplenium viride,Green spleenwort,Huds.,2,y,,,,
Astragalus alvordensis,Alvord milk-vetch,M.E. Jones,4,y,,,,
Astragalus applegatei,Applegate's milk-vetch,M.E. Peck,1,y,,,,
Astragalus atratus var. owyheensis,Owyhee milk-vetch,S. Wats.,4,y,,,,
Astragalus californicus,California milk-vetch,(Gray) Greene,2,y,,,,
Astragalus calycosus,King's rattleweed,Torr. ex S. Wats.,2,y,,,,
Astragalus collinus var. laurentii,Laurence's milk-vetch,(Hook.) Dougl. ex G. Don,1,y,,,,
Astragalus conjunctus var. conjunctus,Idaho milk-vetch,S. Wats.,3,y,,,,
Astragalus conjunctus var. rickardii,Rickard's milk-vetch,S. Wats.,3,y,,,,
Astragalus cusickii var. sterilis,Sterile milk-vetch,Gray,1,y,Astragalus sterliis,y,"ORBIC updated name, matches OregonFlora",
Astragalus diaphanus var. diurnus,South John Day milk-vetch,Dougl. ex Hook.,1,y,Astragalus diurnus,n,keep ORBIC name (OR Flora agrees),
Astragalus gambelianus,Gambel milk-vetch,Sheldon,2,y,,,,
Astragalus geyeri var. geyeri,Geyer's milk-vetch,Gray,2,y,,,,
Astragalus hoodianus,Hood River milk-vetch,T.J. Howell,2,y,,,,
Astragalus lemmonii,Lemmon's milk-vetch,A. Gray,1,y,,,,
Astragalus lentiginosus var. floribundus,Floriferous freckled milkvetch,Dougl. ex Hook.,3,y,,,,
Astragalus misellus var. misellus,Pauper milk-vetch,S. Wats.,1,y,,,,
Astragalus mulfordiae,Mulford's milk-vetch,M.E. Jones,1,y,,,,
Astragalus peckii,Peck's milk-vetch,Piper,1,y,,,,
Astragalus platytropis,Broad-keeled milk-vetch,A. Gray,2,y,,,,
Astragalus reventiformis,Long-leaved milk-vetch,(Rydb.) Barneby,2,y,,,,
Astragalus robbinsii var. alpiniformis,Wallowa milk-vetch,(Oakes) Gray,4,y,,,,
Astragalus sclerocarpus,Stalked-pod milk-vetch,Gray,4,y,,,,
Astragalus succumbens,Columbia milk-vetch,Dougl. ex Hook.,4,y,,,,
Astragalus tegetarioides,Bastard kentrophyta,M.E. Jones,1,y,,,,
Astragalus tenellus,Loose flower milk-vetch,Pursh,2,y,Astragalus multiflorus,y,"ORBIC changed name, matches OregonFlora",
Astragalus tyghensis,Tygh Valley milk-vetch,M.E. Peck,1,y,,,,
Astragalus umbraticus,Woodland milk-vetch,Sheldon,4,y,,,,
Athysanus unilateralis,Spreading athysanus,(M.E. Jones) Jepson,3,y,,,,
Atriplex gmelinii var. gmelinii,Gmelin's saltbush,C.A. Mey. ex Bong.,2,y,Atriplex gmelinii,n,may only be the one var. in Oregon anyway,
Atriplex leucophylla,Beach saltbush,(Moq.) D. Dietr.,3,y,,,,
Atriplex powellii,Powell's saltbush,S. Wats.,3,y,,,,
Baccharis douglasii,Marsh baccharis,DC.,2,y,Baccharis glutinosa,y,"ORBIC changed name, matches ORFlora. B. douglasii a synonym according to Jepson eFlora",Baccharis glutinosa
Balsamorhiza lanata,Woolly balsamroot,(Sharp) W.A. Weber,1,y,,,,
Balsamorhiza macrophylla,Large-leaf balsamroot,Nutt.,3,y,,,,
Balsamorhiza rosea,Rosy balsamroot,A. Nels. & J.F. Macbr.,2,y,,,,
Balsamorhiza sericea,Silky balsamroot,W.A. Weber,4,y,,,,
Bensoniella oregana,Bensonia,(Abrams & Bacig.) Morton,1,y,,,,
Bergia texana,Texas bergia,(Hook.) Seub. ex Walp.,4,y,,,,
Boechera atrorubens,Sickle-pod rockcress,(Suksdorf ex Greene) Windham & Al-Shehbaz,2,y,,,,
Boechera breweri ssp. shastaensis,Brewer's rockcress,(S. Watson) Al-Shehbaz,3,y,,,,
Boechera cascadensis,Cascade rockcress,Windham & Al-Shehbaz,3,y,,,,
Boechera cobrensis,Cobre rockcress,(M.E. Jones) Dorn,3,y,,,,
Boechera covillei,Coville's rockcress,(Greene) Windham & Al-Shehbaz,3,y,,,,
Boechera cusickii,Cusick's rockcress,(S. Watson) Al-Shehbaz,3,y,,,,
Boechera davidsonii,Davidson's rockcress,(Greene) N. H. Holmgren,2,y,,,,
Boechera hastatula,Hells Canyon rockcress,(Greene) Al-Shehbaz,1,y,,,,
Boechera horizontalis,Crater Lake rockcress,(Greene) Windham & Al-Shehbaz,1,y,,,,
Boechera paddoensis,Mt. Adams rockcress,(Rollins) Windham & Al-Shehbaz,1,y,,,,
Boechera rollei,Klamath River rockcress,(Rollins) Al-Shehbaz,3,y,,,,
Bolandra oregana,Oregon bolandra,S. Wats.,4,y,,,,
Botrychium ascendens,Upward-lobed moonwort,W.H. Wagner,1,y,,,,
Botrychium campestre,Prairie moonwort,W.H. Wagner & Farrar ex W.H. & F. Wagner,2,y,,,,
Botrychium crenulatum,Crenulate grape-fern,W.H. Wagner,1,y,,,,
Botrychium hesperium,Western moonwort,(Maxon & Clausen) W.H. Wagner & Lellinger,2,y,,,,
Botrychium lanceolatum,Lance-leaved grape-fern,(Gmel.) Angstr.,4,y,,,,
Botrychium lineare,Skinny moonwort,W.H. Wagner,1,y,,,,
Botrychium lunaria,Moonwort,(L.) Sw.,2,y,,,,
Botrychium minganense,Gray moonwort,Victorin,4,y,,,,
Botrychium montanum,Mountain grape-fern,W.H. Wagner,2,y,,,,
Botrychium paradoxum,Twin-spike moonwort,W.H. Wagner,2,y,,,,
Botrychium pedunculosum,Stalked moonwort,W.H. Wagner,1,y,,,,
Botrychium pinnatum,Pinnate grape-fern,St. John,4,y,,,,
Botrychium pumicola,Pumice grape-fern,Coville ex Underwood,1,y,,,,
Boykinia intermedia,Sierra brookfoam,(Piper) G.N. Jones,3,y,,,,
Brodiaea californica,California brodiaea,Lindl.,3,y,,,,
Brodiaea terrestris,Dwarf brodiaea,Kellogg,2,y,,,,
Bromus sitchensis var. maritimus,Maritime brome,Trin.,3,y,Bromus maritimus,n,"ORBIC no change, matches ORFlora. Calflora says they're synonyms",Bromus maritimus Calflora
Bulbostylis capillaris,Densetuft hairsedge,(L.) Kunth ex C.B. Clarke,2-ex,y,,,,
Bupleurum americanum,Bupleurum,Coult. & Rose,2,y,,,,
Calamagrostis breweri,Brewer reedgrass,Thurb.,2,y,,,,
Calamagrostis purpurascens,Purple reedgrass,R. Br.,3,y,,,,
Calamagrostis tacomensis,Rainier reedgrass,K.L. Marr & R.J. Hebda,2,y,,,,
Calamagrostis utsutsuensis,Steens Mountain reedgrass,Otting & B.L. Wilson,4,y,,,,
California macrophylla,Large-leaved filaree,"(Hook. & Arn.) Aldas., C. Navarro, P. Vargas, L. Sáez & Aedo",2,y,,,,
Callitriche marginata,Winged water-starwort,Torr.,2,y,,,,
Callitriche trochlearis,Wheel fruited water-starwort,Fassett,2,y,,,,
Calochortus coxii,Cox's mariposa-lily,M. Godfrey & F. Callahan,1,y,,,,
Calochortus greenei,Greene's mariposa-lily,S. Wats.,1,y,,,,
Calochortus howellii,Howell's mariposa-lily,S. Wats.,1,y,,,,
