ELEMENT_SUBNATIONAL_ID,ELCODE,Category,SNAME,SCOMNAME,LIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
13028,AAAAA01143,Amphibian,Ambystoma mavortium melanostictum,Blotched tiger salamander,3,N,y,,,
6289,AAABB01030,Amphibian,Anaxyrus boreas,Western toad,4,W,y,,,
6290,AAABB01180,Amphibian,Anaxyrus woodhousii,Woodhouse's toad,2,Y,y,,,
6270,AAAAD01020,Amphibian,Aneides ferreus,Clouded salamander,4,W,y,,,
404453,AAAAD01110,Amphibian,Aneides klamathensis,Klamath black salamander,2,Y,y,,,
6288,AAABA01020,Amphibian,Ascaphus montanus,Rocky Mountain tailed frog,2,Y,y,,,
6287,AAABA01010,Amphibian,Ascaphus truei,Coastal tailed frog,4,W,y,,,
6272,AAAAD02020,Amphibian,Batrachoseps attenuatus,California slender salamander,4,W,y,,,
6273,AAAAD02100,Amphibian,Batrachoseps wrighti,Oregon slender salamander,4,W,y,,,
6282,AAAAH01010,Amphibian,Dicamptodon copei,Cope's giant salamander,2,Y,y,,,
6298,AAABH01170,Amphibian,Lithobates pipiens,Northern leopard frog,2,Y,y,,,
6276,AAAAD12050,Amphibian,Plethodon elongatus,Del Norte salamander,4,W,y,,,
6277,AAAAD12100,Amphibian,Plethodon larselli,Larch Mountain salamander,2,Y,y,,,
6278,AAAAD12180,Amphibian,Plethodon stormi,Siskiyou Mountains salamander,1,Y,y,,,
6294,AAABH01021,Amphibian,Rana aurora,Northern red-legged frog,4,W,y,,,
6295,AAABH01050,Amphibian,Rana boylii,Foothill yellow-legged frog,2,Y,y,,,
6296,AAABH01060,Amphibian,Rana cascadae,Cascades frog,4,W,y,,,
6300,AAABH01290,Amphibian,Rana luteiventris,Columbia spotted frog,2,Y,y,,,
6299,AAABH01180,Amphibian,Rana pretiosa,Oregon spotted frog,1,Y,y,,,
6285,AAAAJ01030,Amphibian,Rhyacotriton cascadae,Cascade torrent salamander,2,Y,y,,,
6286,AAAAJ01040,Amphibian,Rhyacotriton kezeri,Columbia torrent salamander,2,Y,y,,,
6284,AAAAJ01020,Amphibian,Rhyacotriton variegatus,Southern torrent salamander,4,W,y,,,
6281,AAAAF02012,Amphibian,Taricha granulosa mazamae,Crater Lake newt,1,Y,y,,,
6397,ABNKC12061,Bird,Accipiter atricapillus,American Goshawk,4,W,y,Astur atricapillus,2024 edition of the Clements checklist split Accipiter into five genera,"Clements, J. F., P. C. Rasmussen, T. S. Schulenberg, M. J. Iliff, T. A. Fredericks, J. A. Gerbracht, D. Lepage, A. Spencer, S. M. Billerman, B. L. Sullivan, M. Smith, and C. L. Wood. 2024. The eBird/Clements checklist of Birds of the World: v2024. Downloaded from https://www.birds.cornell.edu/clementschecklist/download/"
6311,ABNCA04020,Bird,Aechmophorus clarkii,Clark's Grebe,4,W,y,,,
6310,ABNCA04010,Bird,Aechmophorus occidentalis,Western Grebe,4,W,y,,,
6548,ABNSB15010,Bird,Aegolius funereus,Boreal Owl,3,Y,y,,,
6744,ABPBXB0020,Bird,Agelaius tricolor,Tricolored Blackbird,1,Y,y,,,
6727,ABPBXA0020,Bird,Ammodramus savannarum,Grasshopper Sparrow,2,Y,y,,,
6723,ABPBX97010,Bird,Amphispiza bilineata,Black-throated Sparrow,4,W,y,,,
6442,ABNNB03031,Bird,Anarhynchus nivosus nivosus,Western Snowy Plover,2,Y,y,,,
6349,ABNJB03043,Bird,Anser albifrons elgasi,Tule White-fronted Goose,4,Y,y,,,
6434,ABNMK01011,Bird,Antigone canadensis canadensis,Lesser Sandhill Crane,4,W,y,,,
10136,ABNMK01016,Bird,Antigone canadensis rowani,Canadian Sandhill Crane,3,Y,y,,,
6435,ABNMK01014,Bird,Antigone canadensis tabida,Greater Sandhill Crane,4,W,y,,,
6404,ABNKC22010,Bird,Aquila chrysaetos,Golden Eagle,4,Y,y,,,
365280,ABPBX97040,Bird,Artemisiospiza nevadensis,Sagebrush Sparrow,4,W,y,,,
6547,ABNSB13040,Bird,Asio flammeus,Short-eared Owl,3,Y,y,,,
6546,ABNSB13010,Bird,Asio otus,Long-eared Owl,3,Y,y,,,
6540,ABNSB10012,Bird,Athene cunicularia hypugaea,Western Burrowing Owl,4,W,y,,,
6621,ABPAW01120,Bird,Baeolophus ridgwayi,Juniper Titmouse,4,W,y,,,
6456,ABNNF06010,Bird,Bartramia longicauda,Upland Sandpiper,2,Y,y,,,
6335,ABNGA02010,Bird,Botaurus exilis,Least Bittern,3,Y,y,,,
6517,ABNNN06010,Bird,Brachyramphus marmoratus,Marbled Murrelet,2,Y,y,,,
6353,ABNJB05010,Bird,Branta bernicla,Brant,4,W,y,,,
6357,ABNJB05039,Bird,Branta canadensis occidentalis,Dusky Canada Goose,2,Y,y,,,
6355,ABNJB05035,Bird,Branta hutchinsii leucopareia,Aleutian Cackling Goose,2,Y,y,,,
6384,ABNJB18030,Bird,Bucephala albeola,Bufflehead,2,Y,y,,,
6383,ABNJB18020,Bird,Bucephala islandica,Barrow's Goldeneye,4,W,y,,,
6402,ABNKC19120,Bird,Buteo regalis,Ferruginous Hawk,4,W,y,,,
6400,ABNKC19070,Bird,Buteo swainsoni,Swainson's Hawk,4,W,y,,,
6475,ABNNF11160,Bird,Calidris ptilocnemis,Rock Sandpiper,4,W,y,,,
6420,ABNLC12010,Bird,Centrocercus urophasianus,Greater Sage-Grouse,1,Y,y,,,
6522,ABNNN11010,Bird,Cerorhinca monocerata,Rhinoceros Auklet,2,Y,y,,,
6513,ABNNM10020,Bird,Chlidonias niger,Black Tern,4,W,y,,,
6550,ABNTA02020,Bird,Chordeiles minor,Common Nighthawk,4,W,y,,,
6530,ABNRB02020,Bird,Coccyzus americanus,Yellow-billed Cuckoo,2,Y,y,,,
6577,ABPAE32010,Bird,Contopus cooperi,Olive-sided Flycatcher,4,W,y,,,
6428,ABNME01010,Bird,Coturnicops noveboracensis,Yellow Rail,2,Y,y,,,
6347,ABNJB02030,Bird,Cygnus buccinator,Trumpeter Swan,2,Y,y,,,
6553,ABNUA01010,Bird,Cypseloides niger,Black Swift,2,Y,y,,,
6742,ABPBXA9010,Bird,Dolichonyx oryzivorus,Bobolink,2,Y,y,,,
