observation_id,observer_id,taxon_id,license,latitude_public,longitude_public,latitude_private,longitude_private,coordinate_precision,coordinate_precision_public,observed_on,observed_on_string,created_at,quality_grade,url,description,id_agreements,id_disagreements,captive_cultivated,place_guess_public,place_guess_private,obscured,in_project
362665674,5835350,4334,cc-by-nc,-121.9711383333,42.3820133333,,,16.0,16.0,2026-05-17,2026-05-17 19:53:16,2026-05-17T23:56:28-07:00,research,https://www.inaturalist.org/observations/362665674,,1,0,False,"Eagle Ridge Rd, Klamath Falls, OR, US",,False,False
362656886,5874769,4509,cc-by-nc,-123.967445,45.8855213883,,,,,2026-05-17,2026/05/17 08:35,2026-05-17T22:57:21-07:00,research,https://www.inaturalist.org/observations/362656886,,3,0,False,"Толована Парк, Кэннон Бич, Орегон, США",,False,False
362640139,894947,4547,cc-by-nc,-124.0741805,44.6761866667,,,9.0,9.0,2026-05-06,2026-05-06 08:12:14-07:00,2026-05-17T21:14:34-07:00,research,https://www.inaturalist.org/observations/362640139,,1,0,False,"Yaquina Head Outstanding Natural Area, Newport, OR, US",,False,False
362619373,6394851,4334,cc-by-nc,-122.8370450903,45.7362737363,,,15.0,15.0,2026-05-17,2026/05/17 ,2026-05-17T19:32:27-07:00,research,https://www.inaturalist.org/observations/362619373,,3,0,False,"Columbia County, OR, USA",,False,False
362584372,5711009,7111,cc-by-nc,-124.3981556857,43.3029387435,,,55.0,55.0,2026-05-17,2026/05/17 9:52 AM,2026-05-17T17:08:41-07:00,research,https://www.inaturalist.org/observations/362584372,,1,0,False,"Coos County, OR, USA",,False,False
362457204,2604239,7004,,-121.0669533897,45.2325642155,,,36.0,36.0,2026-05-15,2026-05-15 21:44:27-08:00,2026-05-17T10:57:41-07:00,research,https://www.inaturalist.org/observations/362457204,,1,0,False,"BLM Access Rd, Tygh Valley, OR, US",,False,False
362211433,1289543,4334,cc-by-nc-nd,-123.2737673567,44.0636403967,,,,,2026-05-14,2026/05/14 10:44 AM,2026-05-16T18:33:03-07:00,research,https://www.inaturalist.org/observations/362211433,,1,0,False,"Lane County, OR, USA",,False,False
362209119,2295838,6915,cc-by-nc,-121.4462592492,43.8849628581,,,67.0,67.0,2026-05-16,2026-05-16 17:13:11,2026-05-16T18:23:46-07:00,research,https://www.inaturalist.org/observations/362209119,,1,0,False,"River Rd, Bend, OR, US",,False,False
362169207,1668593,7111,cc-by-nc,-122.3140303546,43.638329335,,,,27443.0,2026-05-11,2026/05/11 1:08 PM,2026-05-16T15:43:49-07:00,research,https://www.inaturalist.org/observations/362169207,,1,0,False,"Lane County, US-OR, US",,True,False
361932367,586635,6993,cc-by-nc,-124.0436547279,44.6237728945,,,31.0,31.0,2023-04-13,2023/04/13 5:12 PM,2026-05-16T01:23:46-07:00,research,https://www.inaturalist.org/observations/361932367,,1,0,False,"Newport, OR, USA",,False,False
361932364,586635,4209,cc-by-nc,-124.0418234451,44.6233939433,,,31.0,31.0,2023-04-13,2023/04/13 5:10 PM,2026-05-16T01:23:45-07:00,research,https://www.inaturalist.org/observations/361932364,,1,0,False,"Newport, OR, USA",,False,False
361801109,6750200,4334,cc-by-nc,-120.7160987833,44.1257164381,,,688.0,688.0,2026-05-09,2026-05-09 19:01:32,2026-05-15T13:49:12-07:00,research,https://www.inaturalist.org/observations/361801109,,1,0,False,"Prineville, OR, US",,False,False
361626570,7681309,7111,cc-by-nc,-123.966225,45.8835033333,,,3.0,3.0,2026-04-25,2026-04-25 11:51:08,2026-05-14T23:49:27-07:00,research,https://www.inaturalist.org/observations/361626570,,1,0,False,"OR, US",,False,False
361614504,3064171,4509,cc-by-nc,-123.9680799858,45.8843199664,,,31.0,31.0,2026-05-14,2026/05/14 5:16 AM,2026-05-14T21:57:57-07:00,research,https://www.inaturalist.org/observations/361614504,Birdathon 2026!,1,0,False,"Tolovana Park, Cannon Beach, OR, USA",,False,False
