name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
13982,Acipenser medirostris pop. 1 : Green sturgeon (Southern DPS),Acipenser medirostris pop. 1,,Green sturgeon (Southern DPS),S2?N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1131628,ELEMENT_GLOBAL.2.1131628,Acipenseridae,AFCAA01031,Vertebrate Animal,,Animal,
13986,Acipenser medirostris pop. 2 : Green sturgeon (Northern DPS),Acipenser medirostris pop. 2,,Green sturgeon (Northern DPS),S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1131629,ELEMENT_GLOBAL.2.1131629,Acipenseridae,AFCAA01032,Vertebrate Animal,,Animal,
7146,Actinemys marmorata : Western pond turtle,Actinemys marmorata,"(Baird and Girard, 1852)",Western pond turtle,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103571,ELEMENT_GLOBAL.2.103571,Emydidae,ARAAD02031,Vertebrate Animal,,Animal,
6548,Aegolius funereus : Boreal Owl,Aegolius funereus,"(Linnaeus, 1758)",Boreal Owl,S3?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105053,ELEMENT_GLOBAL.2.105053,Strigidae,ABNSB15010,Vertebrate Animal,,Animal,
6744,Agelaius tricolor : Tricolored Blackbird,Agelaius tricolor,"(Audubon, 1837)",Tricolored Blackbird,S1S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101015,ELEMENT_GLOBAL.2.101015,Icteridae,ABPBXB0020,Vertebrate Animal,,Animal,
6727,Ammodramus savannarum : Grasshopper Sparrow,Ammodramus savannarum,"(Gmelin, 1789)",Grasshopper Sparrow,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100347,ELEMENT_GLOBAL.2.100347,Passerellidae,ABPBXA0020,Vertebrate Animal,,Animal,
7013,Ammospermophilus leucurus : White-tailed antelope squirrel,Ammospermophilus leucurus,"(Merriam, 1889)",White-tailed antelope squirrel,S4,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103162,ELEMENT_GLOBAL.2.103162,Sciuridae,AMAFB04020,Vertebrate Animal,,Animal,
6442,Anarhynchus nivosus nivosus : Western Snowy Plover,Anarhynchus nivosus nivosus,"(Cassin, 1858)",Western Snowy Plover,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100393,ELEMENT_GLOBAL.2.100393,Charadriidae,ABNNB03031,Vertebrate Animal,,Animal,
6290,Anaxyrus woodhousii : Woodhouse's toad,Anaxyrus woodhousii,"(Girard, 1854)",Woodhouse's toad,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103855,ELEMENT_GLOBAL.2.103855,Bufonidae,AAABB01180,Vertebrate Animal,,Animal,
404453,Aneides klamathensis : Klamath black salamander,Aneides klamathensis,"Reilly and Wake, 2019",Klamath black salamander,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1162315,ELEMENT_GLOBAL.2.1162315,Plethodontidae,AAAAD01110,Vertebrate Animal,,Animal,
6349,Anser albifrons elgasi : Tule White-fronted Goose,Anser albifrons elgasi,"Delacour and Ripley, 1975",Tule White-fronted Goose,S2S3N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104369,ELEMENT_GLOBAL.2.104369,Anatidae,ABNJB03043,Vertebrate Animal,,Animal,
10136,Antigone canadensis rowani : Canadian Sandhill Crane,Antigone canadensis rowani,"(Walkinshaw, 1949)",Canadian Sandhill Crane,S2?N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.10134,ELEMENT_GLOBAL.57.10134,Gruidae,ABNMK01016,Vertebrate Animal,,Animal,
6994,Antrozous pallidus : Pallid bat,Antrozous pallidus,"(Le Conte, 1856)",Pallid bat,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106431,ELEMENT_GLOBAL.2.106431,Vespertilionidae,AMACC10010,Vertebrate Animal,,Animal,
6404,Aquila chrysaetos : Golden Eagle,Aquila chrysaetos,"(Linnaeus, 1758)",Golden Eagle,S3S4,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100925,ELEMENT_GLOBAL.2.100925,Accipitridae,ABNKC22010,Vertebrate Animal,,Animal,
420154,Arborimus longicaudus pop. 1 : Red tree vole North Oregon Coast DPS,Arborimus longicaudus pop. 1,,Red tree vole North Oregon Coast DPS,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1256169,ELEMENT_GLOBAL.2.1256169,Cricetidae,AMAFF23023,Vertebrate Animal,,Animal,
6288,Ascaphus montanus : Rocky Mountain tailed frog,Ascaphus montanus,"Mittleman and Myers, 1949",Rocky Mountain tailed frog,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104648,ELEMENT_GLOBAL.2.104648,Ascaphidae,AAABA01020,Vertebrate Animal,,Animal,
6547,Asio flammeus : Short-eared Owl,Asio flammeus,"(Pontoppidan, 1763)",Short-eared Owl,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100351,ELEMENT_GLOBAL.2.100351,Strigidae,ABNSB13040,Vertebrate Animal,,Animal,
6546,Asio otus : Long-eared Owl,Asio otus,"(Linnaeus, 1758)",Long-eared Owl,S3S4,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101120,ELEMENT_GLOBAL.2.101120,Strigidae,ABNSB13010,Vertebrate Animal,,Animal,
6456,Bartramia longicauda : Upland Sandpiper,Bartramia longicauda,"(Bechstein, 1812)",Upland Sandpiper,S1B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102059,ELEMENT_GLOBAL.2.102059,Scolopacidae,ABNNF06010,Vertebrate Animal,,Animal,
6335,Botaurus exilis : Least Bittern,Botaurus exilis,"(Gmelin, 1789)",Least Bittern,S1B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106202,ELEMENT_GLOBAL.2.106202,Ardeidae,ABNGA02010,Vertebrate Animal,,Animal,
6517,Brachyramphus marmoratus : Marbled Murrelet,Brachyramphus marmoratus,"(Gmelin, 1789)",Marbled Murrelet,S2B,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100239,ELEMENT_GLOBAL.2.100239,Alcidae,ABNNN06010,Vertebrate Animal,,Animal,
6357,Branta canadensis occidentalis : Dusky Canada Goose,Branta canadensis occidentalis,"(S.F. Baird, 1858)",Dusky Canada Goose,S3N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106175,ELEMENT_GLOBAL.2.106175,Anatidae,ABNJB05039,Vertebrate Animal,,Animal,
6355,Branta hutchinsii leucopareia : Aleutian Cackling Goose,Branta hutchinsii leucopareia,"(Brandt, 1836)",Aleutian Cackling Goose,S3N,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100563,ELEMENT_GLOBAL.2.100563,Anatidae,ABNJB05035,Vertebrate Animal,,Animal,
6384,Bucephala albeola : Bufflehead,Bucephala albeola,"(Linnaeus, 1758)",Bufflehead,"S2B,S5N",Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104714,ELEMENT_GLOBAL.2.104714,Anatidae,ABNJB18030,Vertebrate Animal,,Animal,
6415,Canachites canadensis : Spruce Grouse,Canachites canadensis,"(Linnaeus, 1758)",Spruce Grouse,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104936,ELEMENT_GLOBAL.2.104936,Phasianidae,ABNLC09010,Vertebrate Animal,,Animal,
7099,Canis lupus : Gray wolf,Canis lupus,"Linnaeus, 1758",Gray wolf,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105212,ELEMENT_GLOBAL.2.105212,Canidae,AMAJA01030,Vertebrate Animal,,Animal,
