name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
7306,Acalypta cooleyi : Cooley's lace bug,Acalypta cooleyi,"Drake, 1917",Cooley's lace bug,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118219,ELEMENT_GLOBAL.2.118219,Tingidae,IIHEM34030,Invertebrate Animal,,Animal,
7305,Acalypta lillianis : Lillian's lace bug,Acalypta lillianis,"Torre-Bueno, 1916",Lillian's lace bug,S1?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113394,ELEMENT_GLOBAL.2.113394,Tingidae,IIHEM34020,Invertebrate Animal,,Animal,
7310,Acetropis americana : American grass bug,Acetropis americana,"Knight, 1927",American grass bug,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116616,ELEMENT_GLOBAL.2.116616,Miridae,IIHEM76010,Invertebrate Animal,,Animal,
7252,Acupalpus punctulatus : Marsh ground beetle,Acupalpus punctulatus,Hatch,Marsh ground beetle,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119871,ELEMENT_GLOBAL.2.119871,Carabidae,IICOL87040,Invertebrate Animal,,Animal,
7590,Aeshna sitchensis : Zigzag Darner,Aeshna sitchensis,"Hagen, 1861",Zigzag Darner,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110273,ELEMENT_GLOBAL.2.110273,Aeshnidae,IIODO14160,Invertebrate Animal,,Animal,
7591,Aeshna subarctica : Subarctic darner,Aeshna subarctica,"Walker, 1908",Subarctic darner,S2?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108456,ELEMENT_GLOBAL.2.108456,Aeshnidae,IIODO14170,Invertebrate Animal,,Animal,
7816,Agapetus denningi : Denning's agapetus caddisfly,Agapetus denningi,"Ross, 1951",Denning's agapetus caddisfly,SH,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113317,ELEMENT_GLOBAL.2.113317,Glossosomatidae,IITRI33020,Invertebrate Animal,,Animal,
7233,Agonum belleri : Beller's ground beetle,Agonum belleri,"(Hatch, 1933)",Beller's ground beetle,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113400,ELEMENT_GLOBAL.2.113400,Carabidae,IICOL4H010,Invertebrate Animal,,Animal,
13090,Agriades podarce klamathensis : Gray blue,Agriades podarce klamathensis,"Emmel and Emmel, 1998",Gray blue,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115347,ELEMENT_GLOBAL.2.115347,Lycaenidae,IILEPH0033,Invertebrate Animal,,Animal,
7849,Allomyia scotti : Scott's apatanian caddisfly,Allomyia scotti,"(Wiggins, 1973)",Scott's apatanian caddisfly,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109107,ELEMENT_GLOBAL.2.109107,Apataniidae,IITRIC6010,Invertebrate Animal,,Animal,
7262,Ameletus dissitus : A mayfly,Ameletus dissitus,"Eaton, 1885",A mayfly,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118910,ELEMENT_GLOBAL.2.118910,Ameletidae,IIEPH15120,Invertebrate Animal,,Animal,
7271,Ameletus minimus : A mayfly,Ameletus minimus,"Zloty and Harper, 1999",A mayfly,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120146,ELEMENT_GLOBAL.2.120146,Ameletidae,IIEPH15340,Invertebrate Animal,,Animal,
