name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
12751,Alaria marginata : Winged kelp,Alaria marginata,Postels &amp; Ruprecht,Winged kelp,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.972229,ELEMENT_GLOBAL.2.972229,Alariaceae,KPHAE0N010,Chromist,,,
12732,Battersia plumigera : Brown marine alga,Battersia plumigera,"(Holmes ex Hauck) Draisma, Prud'homme & H. Kawai",Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830303,ELEMENT_GLOBAL.2.830303,Sphacelariaceae,KPHAE22010,Chromist,,,
12748,Coilodesme bulligera : Brown marine alga,Coilodesme bulligera,Strömfelt,Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830363,ELEMENT_GLOBAL.2.830363,Coilodesmaceae,KPHAE09010,Chromist,,,
12744,Desmarestia dudresnayi ssp. foliaceae : Brown marine alga,Desmarestia dudresnayi ssp. foliaceae,"(V.A. Pease) A.F. Peters, E.C. Yang, F.C. Küpper & Prudhomme",Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830359,ELEMENT_GLOBAL.2.830359,Desmarestiaceae,KPHAE01020,Chromist,,,
12749,Dictyosiphon foeniculaceus : Brown marine alga,Dictyosiphon foeniculaceus,(Hudson) Greville,Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830364,ELEMENT_GLOBAL.2.830364,Dictyosiphonaceae,KPHAE0A010,Chromist,,,
12745,Dictyota binghamiae : Brown marine alga,Dictyota binghamiae,J. Agardh,Brown marine alga,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830360,ELEMENT_GLOBAL.2.830360,Dictyotaceae,KPHAE02010,Chromist,,,
12753,Laminaria ephemera : Brown marine alga,Laminaria ephemera,Setchell,Brown marine alga,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830368,ELEMENT_GLOBAL.2.830368,Laminariaceae,KPHAE0U020,Chromist,,,
12777,Laminaria longipes : Brown marine alga,Laminaria longipes,Bory,Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125851,ELEMENT_GLOBAL.2.125851,Laminariaceae,KPHAE0U040,Chromist,,,
12754,Macrocystis pyrifera : Giant kelp,Macrocystis pyrifera,(L.) C. Agardh,Giant kelp,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1370509,ELEMENT_GLOBAL.2.1370509,Lessoniaceae,KPHAE0Z030,Chromist,,,
12730,Planosiphon gracilis : Brown marine alga,Planosiphon gracilis,(Kogame) McDevit & G.W. Saunders,Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830301,ELEMENT_GLOBAL.2.830301,Scytosiphonaceae,KPHAE0H010,Chromist,,,
12971,Pylaiella unilateralis : Brown marine alga,Pylaiella unilateralis,Setchell & N.L.Gardner,Brown marine alga,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.885437,ELEMENT_GLOBAL.2.885437,Ectocarpaceae,KPHAE0B020,Chromist,,,
12747,Saundersella simplex : Brown marine alga,Saundersella simplex,(D.A. Saunders) Kylin,Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830362,ELEMENT_GLOBAL.2.830362,Chordariaceae,KPHAE07010,Chromist,,,
12731,Scytothamnus fasciculatus : Brown marine alga,Scytothamnus fasciculatus,(J.D. Hooker & Harvey) A.D. Cotton,Brown marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830302,ELEMENT_GLOBAL.2.830302,Scytothamnaceae,KPHAE21010,Chromist,,,
