name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
9765,Albatrellus avellaneus : Fungus,Albatrellus avellaneus,Pouzar,Fungus,S1S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.9763,ELEMENT_GLOBAL.57.9763,Albatrellaceae,NFNHP00001,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
9754,Aleurodiscus farlowii : Fungus,Aleurodiscus farlowii,Burt,Fungus,S1?,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.9752,ELEMENT_GLOBAL.57.9752,Stereaceae,NFSM000001,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
8092,Aloina bifrons : Moss,Aloina bifrons,(De Not.) Delg.,Moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125784,ELEMENT_GLOBAL.2.125784,Pottiaceae,NBMUS03050,Nonvascular Plant,,Plant,
9789,Amanita novinupta : New bride blusher,Amanita novinupta,Tullosss & Lindgr.,New bride blusher,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.9787,ELEMENT_GLOBAL.57.9787,Amanitaceae,NFNHP00010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
450386,Amylocystis lapponica : ,Amylocystis lapponica,(Romell) Bondartsev & Singer,,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1063308,ELEMENT_GLOBAL.2.1063308,Fomitopsidaceae,NFPOL0B010,Fungus,FUNGUS|MACROFUNGUS,Plant,PERENNIAL FRUITING BODY
12584,Anaptychia crinalis : Hanging fringe lichen,Anaptychia crinalis,(Schaerer) Vezda,Hanging fringe lichen,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.824802,ELEMENT_GLOBAL.2.824802,Physciaceae,NLTEST9040,Fungus,FUNGUS|LICHEN,Plant,
366122,Anastrophyllum sphenoloboides : Liverwort,Anastrophyllum sphenoloboides,Schust.,Liverwort,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123669,ELEMENT_GLOBAL.2.123669,Jungermanniaceae,NBHEP04070,Nonvascular Plant,,Plant,
419947,Andreaea heinemannii : Heinemann's andreaea moss,Andreaea heinemannii,Hampe & C. Mull.,Heinemann's andreaea moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123072,ELEMENT_GLOBAL.2.123072,Andreaeaceae,NBMUS0A100,Nonvascular Plant,,Plant,
9720,Andreaea nivalis : Snow rock moss,Andreaea nivalis,Hook.,Snow rock moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126030,ELEMENT_GLOBAL.2.126030,Andreaeaceae,NBMUS0A040,Nonvascular Plant,,Plant,
8093,Andreaea schofieldiana : Schofield's rock moss,Andreaea schofieldiana,B. Murr.,Schofield's rock moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121793,ELEMENT_GLOBAL.2.121793,Andreaeaceae,NBMUS0A080,Nonvascular Plant,MOSS,Plant,PERENNIAL
