observation_id,observer_id,taxon_id,license,latitude_public,longitude_public,latitude_private,longitude_private,coordinate_precision,coordinate_precision_public,observed_on,observed_on_string,created_at,quality_grade,url,description,id_agreements,id_disagreements,captive_cultivated,place_guess_public,place_guess_private,obscured,in_project
361446374,2949453,3906,cc-by-nc,-118.9650760337,43.2816670254,,,122.0,122.0,2026-05-11,2026/05/11 12:02 PM,2026-05-14T08:44:37-07:00,research,https://www.inaturalist.org/observations/361446374,,1,0,False,"Harney County, OR, USA",,False,False
360609139,5754560,3906,,-119.8482381311,42.531472537,,,6236.0,6236.0,2025-12-19,2025-12-19 13:43:49,2026-05-11T08:04:35-07:00,research,https://www.inaturalist.org/observations/360609139,,2,0,False,"Plush, OR, US",,False,False
359530989,1668593,3906,cc-by-nc,-124.1284985929,44.0151785058,,,61.0,61.0,2026-05-07,2026/05/07 9:32 AM,2026-05-08T08:06:05-07:00,research,https://www.inaturalist.org/observations/359530989,,1,0,False,"Heceta Beach, OR 97439, USA",,False,False
359431293,1289543,3906,cc-by-nc-nd,-124.127059,44.015527,,,,,2026-05-07,2026/05/07 9:31 AM,2026-05-07T22:39:55-07:00,research,https://www.inaturalist.org/observations/359431293,,1,0,False,"Heceta Beach, OR 97439, USA",,False,False
359132379,1639619,3906,cc-by-nc,-118.8910424889,42.8394752873,,,209.0,209.0,2026-04-30,2026-04-30 11:28:29-07:00,2026-05-06T22:50:38-07:00,research,https://www.inaturalist.org/observations/359132379,,1,0,False,"Malheur National Wildlife Refuge, Frenchglen, OR, US",,False,False
359124640,1289543,4553,cc-by-nc-nd,-124.13132223,44.0162133317,,,,,2026-05-06,2026/05/06 3:10 PM,2026-05-06T21:56:28-07:00,research,https://www.inaturalist.org/observations/359124640,Two from a group of three,1,0,False,"Heceta Beach, OR 97439, USA",,False,False
359124638,1289543,4553,cc-by-nc-nd,-124.1313349833,44.01620415,,,,,2026-05-06,2026/05/06 3:12 PM,2026-05-06T21:56:28-07:00,research,https://www.inaturalist.org/observations/359124638,One from a group of three,1,0,False,"Heceta Beach, OR 97439, USA",,False,False
359124630,1289543,4553,cc-by-nc-nd,-124.131349125,44.016190515,,,,,2026-05-06,2026/05/06 3:26 PM,2026-05-06T21:56:26-07:00,research,https://www.inaturalist.org/observations/359124630,,1,0,False,"Heceta Beach, OR 97439, USA",,False,False
358833212,1639619,3906,cc-by-nc,-118.9754144928,43.3020574633,,,97.0,97.0,2026-04-29,2026-04-29 20:10:00-07:00,2026-05-05T22:46:54-07:00,research,https://www.inaturalist.org/observations/358833212,,1,0,False,"OR-205, Burns, OR, US",,False,False
357242979,297709,3906,cc-by-nc,-118.8123783333,43.247685,,,,,2026-04-18,2026-04-18 18:15:14-08:00,2026-05-01T10:44:34-07:00,research,https://www.inaturalist.org/observations/357242979,,1,0,False,"CR-405, Princeton, OR, US",,False,False
357022934,972627,4224,,-123.9720336,45.2155121,,,201.0,201.0,2026-04-28,2026/04/28 11:03 AM,2026-04-30T17:43:44-07:00,research,https://www.inaturalist.org/observations/357022934,,2,0,False,"Pacific City Beach, Pacific City, OR 97135, USA",,False,False
354808477,1110622,4224,cc-by-nc,-122.67593,45.613465,,,,,2026-04-26,2026/04/26 1:28 PM,2026-04-26T15:31:44-07:00,research,https://www.inaturalist.org/observations/354808477,,2,0,False,"North Portland, Portland, OR, USA",,False,False
351779187,1018314,3906,,-119.0354994598,43.6112859627,,,19.0,19.0,2026-04-10,2026-04-10 09:38:45,2026-04-21T11:15:35-07:00,research,https://www.inaturalist.org/observations/351779187,,1,0,False,"Eben Ray Rd, Burns, OR, US",,False,False
351519825,5207617,4224,cc-by-nc,-124.1367616667,44.015915,,,,,2026-04-18,2026/04/18 5:32 PM,2026-04-20T11:30:50-07:00,research,https://www.inaturalist.org/observations/351519825,,2,0,False,"Lane County, OR, USA",,False,False
