ELEMENT_SUBNATIONAL_ID,ELCODE,SNAME,SCOMNAME,HPLIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
7306,IIHEM34030,Acalypta cooleyi,Cooley's lace bug,3,Y,y,,,
7305,IIHEM34020,Acalypta lillianis,Lillian's lace bug,3,Y,y,,,
7310,IIHEM76010,Acetropis americana,American grass bug,1,Y,y,,,
7252,IICOL87040,Acupalpus punctulatus,Marsh ground beetle,1,Y,y,,,
7590,IIODO14160,Aeshna sitchensis,Zigzag Darner,2,Y,y,,,
7591,IIODO14170,Aeshna subarctica,Subarctic darner,2,Y,y,,,
7816,IITRI33020,Agapetus denningi,Denning's agapetus caddisfly,1,Y,y,,,
7233,IICOL4H010,Agonum belleri,Beller's ground beetle,2,Y,y,,,
7849,IITRIC6010,Allomyia scotti,Scott's apatanian caddisfly,1,Y,y,,,
7262,IIEPH15120,Ameletus dissitus,A mayfly,1,Y,y,,,
7271,IIEPH15340,Ameletus minimus,A mayfly,1,Y,y,,,
7270,IIEPH15330,Ameletus quadratus,A mayfly,1,Y,y,,,
7267,IIEPH15270,Ameletus tolae,A mayfly,1,Y,y,,,
7194,ICMAL02020,Amerigoniscus malheurensis,Malheur isopod,1,Y,y,,,
13096,IIHYM35500,Andrena winnemuccana,A miner bee,3,Y,y,,,
366229,IMBIV04220,Anodonta californiensis,California floater,3,Y,y,,,
7881,IMBIV04100,Anodonta nuttalliana,Winged floater,3,Y,y,,,
7882,IMBIV04110,Anodonta oregonensis,Oregon floater,2,Y,y,,,
7748,IITRI10010,Apatania tavala,Cascades apatanian caddisfly,4,W,y,,,
7874,ILARA29090,Apochthonius forbesi,Forbes pseudoscorpion,1,Y,y,,,
7873,ILARA29020,Apochthonius malheuri,Malheur pseudoscorpion,1,Y,y,,,
366211,IILEPJ6024,Argynnis leto eileenae,Great Spangled Fritillary - California subpopulation,1,Y,y,Argynnis cybele eileenae,popluation (Curry Co. only),
