SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated to iNat name,notes/issues,refrerences
Alaria nana,Brown marine alga,H.F. Schrader,3,y,Alaria marginata,y,"new name per DNA study, 2007 Lane et al. Updated in Biotics",
Coilodesme bulligera,Brown marine alga,Strömfelt,3,y,,,,
Desmarestia foliacea,Brown marine alga,V.A. Pease,3,y,Desmarestia dudresnayi ssp. foliacea,y,Algaebase & WoRMS accepted name,"Yang, E.C., Peters, A.F., Kawai, H., Stern, R., Hanyuda, T., Bárbara, I., Müller, D.G., Strittmatter, M., Prud'homme van Reine, W.F. & Küpper, F.C. (2014). Ligulate Desmarestia (Desmarestiales, Phaeophyceae) revisited: D. japonica sp. nov. and D. dudresnayi differ from D. ligulata. Journal of Phycology 50(1): 149-166."
Dictyosiphon foeniculaceus,Brown marine alga,(Hudson) Greville,3,y,,,,
Dictyota binghamiae,Brown marine alga,J. Agardh,3,y,,,,
Laminaria ephemera,Brown marine alga,Setchell,3,y,,,,
Laminaria longipes,Brown marine alga,Bory,3,y,,,,
Macrocystis integrifolia,Brown marine alga,Bory,3,y,Macrocystis pyrifera,y,Algaebase & WoRMS accepted name,http://marinespecies.org/aphia.php?p=taxdetails&id=372509. Also see Macaya and Zuccarello (2010) for what is probably the underlying publication.
Pylaiella unilateralis,Brown marine alga,Setchell & N.L.Gardner,3,y,,,,
Saundersella simplex,Brown marine alga,(D.A. Saunders) Kylin,3,y,,,,
Scytosiphon gracilis,Brown marine alga,Kogame,3,y,Planosiphon gracilis,y,Algaebase & WoRMS accepted name,"McDevit, D.C. & Saunders, G.W. (2017). A molecular investigation of Canadian Scytosiphonaceae (Phaeophyceae) including descriptions of Planosiphon gen. nov. and Scytosiphon promiscuus sp. nov. Botany 95: 653–671, 10 figs, 2 tables."
Scytothamnus fasciculatus,Brown marine alga,(J.D. Hooker & Harvey) A.D. Cotton,3,y,,,,
Sphacelaria plumigera,Brown marine alga,Holmes,3,y,Battersia plumigera,y,Algaebase & WoRMS accepted name,"Draisma, S.G.A., Prud'homme van Reine, W.F. & Kawai, H. (2010). A revised classification of the Sphacelariales (Phaeophyceae) inferred from a psbC and rbcL based phylogeny. European Journal of Phycology 45(3): 308-326"
Ahnfeltiopsis leptophylla,Red marine alga,(J. Agardh) P.C. Silva & DeCew,3,y,Besa leptophylla,y,Algaebase & WoRMS accepted name,"Calderon, M.S., Miller, K.A., Seo, T.H. & Boo, S.M. (2016). Transfer of selected Ahnfeltiopsis (Phyllophoraceae, Rhodophyta) species to the genus Besa and description of Schottera koreana sp. nov.. European Journal of Phycology 51(4): [1-13] 431-443, 53 figs, 2 tables."
Arthrocardia silvae,Red marine alga,Johansen,3,y,Chiharaea silvae,y,Algaebase & WoRMS accepted name,"Martone, P.T., Lindstrom, S.C., Miller, K.A. & Gabrielson, P.W. (2012). Chiharaea and Yamadaia (Corallinales, Rhodophyta) represent reduced and recently derived articulated coralline morphologies. Journal of Phycology 48(4): 859-868."
Cryptonemia borealis,Red marine alga,Kylin,3,y,,,,
Cryptopleura peltata,Marine red alga,(Montagne) M. J. Wynne,3,y,,,,
Erythroglossum californicum,Red marine alga,(J. Agardh) J. Agardh,3,y,,,,
Farlowia compressa,Red marine alga,J. Agardh,3,y,,,,
Farlowia conferta,Red marine alga,(Setchell) I.A. Abbott,3,y,,,,
Gloiocladia laciniata,Red marine alga,(J. Agardh) Sánchez et Rodríguez-Prieto,3,y,,,,
Heterosiphonia densiuscula,Red marine alga,Kylin,3,y,,,,
Hollenbergia nigricans,Marine red alga,(Gardner) Wollaston,3,y,,,,
