ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
IMGASG3140,G1,7942.0,Fluminicola sp. 2,Casebeer pebblesnail,S1,Track all extant and selected historical EOs
IMGASK4240,G2G3,7976.0,Juga acutifilosa,Scalloped juga,S1,Track all extant and selected historical EOs
IMGASB532A,G5T1,7915.0,Oreohelix strigosa delicata,Blue mountainsnail,S1,Track all extant and selected historical EOs
IMGASG3190,G1G2,7947.0,Fluminicola sp. 7,Lake of the Woods pebblesnail,S1S2,Track all extant and selected historical EOs
IMGASG3200,G1,7948.0,Fluminicola sp. 8,Lost River pebblesnail,S1,Track all extant and selected historical EOs
IMGASN2042,G1QT1Q,8039.0,Vorticifex klamathensis sinitsini,Sinitsin ramshorn,S1,Track all extant and selected historical EOs
IMGASR3010,G5,8043.0,Littorina subrotundata,Newcomb's littorine snail,S1,Track all extant and selected historical EOs
IMGAS93060,G3,365574.0,Cryptomastix sanburni,Disc oregonian,S1,Track all extant and selected historical EOs
ICBRA03030,G3,7180.0,Branchinecta lynchi,Vernal pool fairy shrimp,S2S3,Track all extant and selected historical EOs
IIHEM96010,G3,7327.0,Orectoderus schuhi,Schuh's plant bug,S2,Track all extant and selected historical EOs
IMGASN2030,G1Q,8036.0,Vorticifex neritoides,Nerite ramshorn,SU,Track all extant and selected historical EOs
IICOL02090,G1,7205.0,Cicindela columbica,Columbia River tiger beetle,SX,Track all extant and selected historical EOs
IMGASC2280,G3Q,7920.0,Helminthoglypta hertleini,Oregon shoulderband,S2?,Track all extant and selected historical EOs
IIEPH33140,G1G2,7278.0,Paraleptophlebia aquilina,Aquiline prong-gilled mayfly,S1?,Track all extant and selected historical EOs
IMGASN2011,GNRT1,8034.0,Vorticifex effusa dalli,Dall's ramshorn,S1,Track all extant and selected historical EOs
IMGASG3150,G1,7943.0,Fluminicola sp. 3,Diminutive pebblesnail,S1,Track all extant and selected historical EOs
IIHEM95020,G3,7326.0,Micracanthia schuhi,Schuh's shore bug,S2,Track all extant and selected historical EOs
IMBIVB9020,GNR,366232.0,Ostrea lurida,Olympia oyster,S2S3,Track all extant and selected historical EOs
IIHEM84010,G4,7314.0,Criocoris saliens,Salien plant bug,S3,Track all extant and selected historical EOs
IICLL17040,G1G2,7203.0,Onychiurus oregonensis,A cave obligate springtail,S1,Track all extant and selected historical EOs
IITRI19610,G2,7788.0,Rhyacophila jewetti,A caddisfly,S1?,Track all extant and selected historical EOs
IMGASC7150,G2G3,9738.0,Monadenia chaceana,Chace sideband,S3,Track all extant and selected historical EOs
IIHEM93010,G3,7323.0,Malezonotus obrieni,Obrien's seed bug,S2,Track all extant and selected historical EOs
IILEPH0033,G4T3,13090.0,Agriades podarce klamathensis,Gray blue,S2,Track all extant and selected historical EOs
IILEPJ7040,G5,7501.0,Boloria bellona,Meadow fritillary,SH,Track all extant and selected historical EOs
IICOL02109,G5T3,7207.0,Cicindela hirticollis couleensis,Hairy-necked tiger beetle,S2?,Track all extant and selected historical EOs
IITRI19810,G3,13081.0,Rhyacophila rickeri,Ricker's free-living caddisfly,S1S2,Track all extant and selected historical EOs
