ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
NLT0028030,G5,12456.0,Solorina spongiosa,Fringed chocolate chip lichen,S1,Track all extant and selected historical EOs
NLT0027930,G3,10321.0,Sigridea californica,Lichen,S1,Track all extant and selected historical EOs
NLCAL6R010,G3G4,10575.0,Thelomma mammosum,Lichen,S1,Track all extant and selected historical EOs
NBMUS3B010,G5,12019.0,Hedwigia ciliata,Hedwig's fringeleaf moss,SNR,Track all extant and selected historical EOs
NLT0021130,GNR,365405.0,Peltigera hymenina,Cloudy pelt lichen,S2,Track all extant and selected historical EOs
NBHEP2M101,G4G5T4?,365411.0,Plagiochila semidecurrens var. semidecurrens,Liverwort,SNR,Track all extant and selected historical EOs
NBMUS0Z0V0,G5,8095.0,Brachythecium turgidum,Thick ragged moss,S1,Track all extant and selected historical EOs
NLLEC5N220,G5,13739.0,Umbilicaria rigida,Roughened rocktripe lichen,S1,Track all extant and selected historical EOs
NBHEP0H010,G3G4,12000.0,Blepharostoma arachnoideum,Liverwort,S2,Track all extant and selected historical EOs
NLTEST7980,G3,8180.0,Texosporium sancti-jacobi,Woven-spored lichen,S2,Track all extant and selected historical EOs
NBHEP2V0D0,G3,8084.0,Radula brunnea,Liverwort,S1,Track all extant and selected historical EOs
NBMUS2M030,G5,8106.0,Encalypta brevicolla,Moss,S1,Track all extant and selected historical EOs
NBMUS7Q070,G4G5,12958.0,Trichostomum crispulum,Curly crisp moss,S1,Track all extant and selected historical EOs
NBMUS6Z070,G5,419971.0,Sphagnum compactum,Moss,SNR,Track all extant and selected historical EOs
NLT0018520,G4G5,10532.0,Microcalicium arenarium,Sandwort microcalicium lichen,S1,Track all extant and selected historical EOs
NLTES36600,G4,8171.0,Niebla cephalota,Powdery fog lichen,S2,Track all extant and selected historical EOs
NLLEC3S150,G5,13829.0,Ramalina intermedia,Intermediate cartilage lichen,S1,Track all extant and selected historical EOs
NBMUS1J083,G5,13821.0,Campylium stellatum,Yellow starry fen moss,S2?,Track all extant and selected historical EOs
NBMUS60030,G5,10461.0,Pseudoleskeella tectorum,Rooftop Leske's moss,S2,Track all extant and selected historical EOs
NLTEST0030,G3,8172.0,Sulcaria badia,Lichen,S3,Track all extant and selected historical EOs
NBMUS4S0Y0,G5,419962.0,Mnium lycopodioides,Moss,SNR,Track all extant and selected historical EOs
NLTES10830,G4G5,8170.0,Stereocaulon spathuliferum,Chalk foam lichen,S1,Track all extant and selected historical EOs
NLT0032310,G3G4,12952.0,Sclerophora peronella,Frosted glass-whiskers lichen,S2,Track all extant and selected historical EOs
NBHEP1G010,G4T4,8060.0,Haplomitrium hookeri,Hooker's flapwort,S1,Track all extant and selected historical EOs
NBHEP0E0A0,G5,8052.0,Barbilophozia lycopodioides,Greater pawwort,S1,Track all extant and selected historical EOs
NLT0020022,G3TNR,12605.0,Ochrolechia subplicans ssp. subplicans,Lichen,S1,Track all extant and selected historical EOs
NBMUS1A1W0,G4,8099.0,Bryum calobryoides,Beautiful bryum,S2,Track all extant and selected historical EOs
NBHEP0C010,G3G4,365367.0,Asterella bolanderi,Liverwort,S1,Track all extant and selected historical EOs
NBMUS5C0C0,G3,13823.0,Philonotis yezoana,Yezo's apple moss,SNR,Track all extant and selected historical EOs
NBHEP0E030,G5,8051.0,Barbilophozia barbata,Bearded pawwort,S1,Track all extant and selected historical EOs
NBMUS6W020,G3,8131.0,Scouleria marginata,Margined streamside moss,S2,Track all extant and selected historical EOs
NBMUS3N010,G4G5,12022.0,Hookeria acutifolia,Sharpleaf hookeria moss,SNR,Track all extant and selected historical EOs
NLT0005710,G3G4,10411.0,Calicium quercinum,Lichen,S1,Track all extant and selected historical EOs
NBMUS4U010,G5,13704.0,Myurella julacea,Small mousetail moss,SNR,Track all extant and selected historical EOs
NLTEST7930,G5,8179.0,Lobaria linita,Cabbage lung lichen,S2,Track all extant and selected historical EOs
NBMUS66010,G5,365375.0,Ptilium crista-castrensis,Knight's plume moss,S1,Track all extant and selected historical EOs
NBHEP1J020,G5,8061.0,Harpanthus flotovianus,Great mountain flapwort,S1,Track all extant and selected historical EOs
NLT0008760,G1,365385.0,Cladonia poroscypha,Lichen,S1,Track all extant and selected historical EOs
NLT0000230,G5,8162.0,Hypogymnia pulverata,Tube lichen,S1,Track all extant and selected historical EOs
