ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
PMPOA2V0QF,G5TNR,13845.0,Festuca rubra ssp. secunda,Leaning red fescue,SNR,Track all extant and selected historical EOs
PDGRO021T0,G4,8681.0,Ribes wolfii,Wolf currant,SNR,Track all extant and selected historical EOs
PDFAB2B500,G4,9477.0,Lupinus nevadensis,Nevada lupine,S1?,Track all extant and selected historical EOs
PDFAB401T0,G2G3,8640.0,Trifolium owyheense,Owyhee clover,S2S3,Track all extant and selected historical EOs
PMLIL1A0G0,G1G2,9282.0,Lilium occidentale,Western lily,S1,Track all extant and selected historical EOs
PDMAL110C0,G2,8735.0,Sidalcea hirtipes,Bristly-stemmed sidalcea,S2,Track all extant and selected historical EOs
PMLIL0U0K0,G2,9269.0,Erythronium elegans,Coast Range fawn-lily,S2,Track all extant and selected historical EOs
PDAPI1N050,G2,8223.0,Perideridia erythrorhiza,Red-root yampah,S2,Track all extant and selected historical EOs
PDSAU01010,G5,420135.0,Anemopsis californica,Yerba mansa,SNR,Track all extant and selected historical EOs
PDLOA03190,G2,8725.0,Mentzelia packardiae,Packard's mentzelia,S2,Track all extant and selected historical EOs
PGPIN040Z0,G4,9103.0,Pinus sabiniana,Gray pine,S1,Track all extant and selected historical EOs
PDFAB0F1N0,G5,8559.0,Astragalus calycosus,King's rattleweed,S1,Track all extant and selected historical EOs
PDGRO020V0,G5,12567.0,Ribes laxiflorum,Trailing black currant,S2?,Track all extant and selected historical EOs
PDSCR0D370,G4,9000.0,Castilleja thompsonii,Thompson's paintbrush,S1,Track all extant and selected historical EOs
PDHYD0E010,G3G4,9705.0,Romanzoffia californica,California mistmaiden,S3?,Track all extant and selected historical EOs
PMPOA48130,G5,9329.0,Muhlenbergia minutissima,Annual dropseed,S2,Track all extant and selected historical EOs
PDERI04230,G4,8543.0,Arctostaphylos hispidula,Gasquet manzanita,S2,Track all extant and selected historical EOs
PMLIL210B0,G4,9305.0,Triteleia laxa,Ithuriel's spear,S1,Track all extant and selected historical EOs
PPADI03060,G4G5,9354.0,Adiantum jordanii,California maiden-hair,S2,Track all extant and selected historical EOs
PMCYP0N010,G5,9179.0,Rhynchospora alba,White beakrush,S2,Track all extant and selected historical EOs
PMCYP0N080,G5,9180.0,Rhynchospora capitellata,Brownish beakrush,S1,Track all extant and selected historical EOs
PDONA060P0,G3,8766.0,Epilobium oreganum,Oregon willow-herb,S2,Track all extant and selected historical EOs
PDAST9C0J0,G4?,8353.0,Townsendia parryi,Parry's townsendia,S1,Track all extant and selected historical EOs
PDCPP08013,G5T5?,9492.0,Polanisia dodecandra ssp. trachysperma,Clammyweed,SNR,Track all extant and selected historical EOs
PDBOR0A140,G5,12558.0,Cryptantha gracilis,Narrow-stem cat's-eye,S2,Track all extant and selected historical EOs
PMPOA2H201,G5TNR,13875.0,Elymus lanceolatus ssp. psammophilus,Sand-dune wild-rye,SNR,Track all extant and selected historical EOs
PDBRA11150,G4,8446.0,Draba howellii,Howell's whitlow-grass,S2,Track all extant and selected historical EOs
PMLIL1A0A0,G3,9281.0,Lilium kelloggii,Kellogg's lily,S1,Track all extant and selected historical EOs
PDFAB0F0P0,G1,8554.0,Astragalus applegatei,Applegate's milk-vetch,S1,Track all extant and selected historical EOs
PDBOR0G080,G3,8395.0,Hackelia cronquistii,Cronquist's stickseed,S3,Track all extant and selected historical EOs
PDHYD0C3U0,G4,12875.0,Phacelia procera,Tall phacelia,SNR,Track all extant and selected historical EOs
PDHYD0C4L0,G3G4,365349.0,Phacelia thermalis,Hot spring phacelia,SNR,Track all extant and selected historical EOs
PMLIL200F0,G3,9673.0,Trillium kurabayashii,Giant purple trillium,S1,Track all extant and selected historical EOs
PDHYD0C010,G3?,365302.0,Phacelia adenophora,Great Basin phacelia,SNR,Track all extant and selected historical EOs
PDPAP030B0,G5,8772.0,Argemone munita,Prickly-poppy,S2,Track all extant and selected historical EOs
PDAPI2F010,G5,8233.0,Zizia aptera,Golden alexanders,S1,Track all extant and selected historical EOs
PMCYP0F010,G5,9176.0,Kobresia myosuroides,Bellard's kobresia,S1,Track all extant and selected historical EOs
PDPGN080S0,G5,8778.0,Eriogonum brachyanthum,Short-flowered eriogonum,S1,Track all extant and selected historical EOs
PDPGN081J0,G2?,8780.0,Eriogonum cusickii,Cusick's eriogonum,S2,Track all extant and selected historical EOs
PDRAN0B182,G2T2,8873.0,Delphinium leucophaeum,White rock larkspur,S2,Track all extant and selected historical EOs
PDBRA11180,G5,365935.0,Draba incerta,Yellowstone draba,SNR,Track all extant and selected historical EOs
PMCYP032H2,G5,9122.0,Carex capitata,Capitate sedge,S2,Track all extant and selected historical EOs
PDSCR1L3C0,G4,9044.0,Penstemon kingii,King's beardtongue,SNR,Track all extant and selected historical EOs
PDRAN0A040,G5,8870.0,Coptis trifolia,Three-leaf goldthread,S1,Track all extant and selected historical EOs
PDAST53071,G4G5T4,13882.0,Hymenoxys cooperi var. canescens,Cooper's goldflower,S1,Track all extant and selected historical EOs
PPLYC020L0,G4,13966.0,Huperzia miyoshiana,Pacific fir-moss,S1,Track all extant and selected historical EOs
PDROS1B5A0,GNR,8923.0,Potentilla villosa,Villous cinquefoil,S1,Track all extant and selected historical EOs
PDMAL110J0,G4,13635.0,Sidalcea neomexicana,Rocky Mountain sidalcea,SNR,Track all extant and selected historical EOs
PDPLM0C010,G5,365311.0,Navarretia atractyloides,Hollyleaf navarretia,SNR,Track all extant and selected historical EOs
PPLYC03060,G5,9376.0,Lycopodiella inundata,Northern bog clubmoss,S2,Track all extant and selected historical EOs
PDROS03030,G5,12541.0,Agrimonia gryposepala,Tall hairy groovebur,S1,Track all extant and selected historical EOs
PDGEN050F0,G3,8658.0,Frasera umpquaensis,Umpqua swertia,S3,Track all extant and selected historical EOs
PMPOA040N0,G2,9319.0,Agrostis howellii,Howell's bentgrass,S2,Track all extant and selected historical EOs
PMPOA48010,G4,365937.0,Muhlenbergia andina,Foxtail muhly,SNR,Track all extant and selected historical EOs
PDAPI070M0,G4G5,14016.0,Angelica tomentosa,Woolly angelica,SNR,Track all extant and selected historical EOs
PDBRA2N010,G3,8470.0,Thelypodium brachycarpum,Short-podded thelypody,S2,Track all extant and selected historical EOs
PMCYP0H070,G5,9178.0,Lipocarpha occidentalis,Western halfchaff sedge,S1,Track all extant and selected historical EOs
PMNAJ010D0,G5,9580.0,Najas guadalupensis,Common water-nymph,SNR,Track all extant and selected historical EOs
PMCYP03820,G5,9141.0,Carex macrochaeta,Alaska long-awned sedge,S2,Track all extant and selected historical EOs
PDROS1K2N0,G5,365343.0,Rubus glaucifolius,Cuyamaca raspberry,SNR,Track all extant and selected historical EOs
PDPLM040B3,G5T2,8812.0,Gilia capitata ssp. chamissonis,Dune gilia,S1,Track all extant and selected historical EOs
PDMAL11090,G3,8734.0,Sidalcea hendersonii,Henderson's sidalcea,S1,Track all extant and selected historical EOs
PPADI0H081,G5T4,13888.0,Pellaea mucronata ssp. californica,California bird's-foot cliffbrake,S1,Track all extant and selected historical EOs
PDSAX17010,G3,8979.0,Saxifragopsis fragarioides,Strawberry saxifrage,S1,Track all extant and selected historical EOs
PDAST9C0Y0,G4,8352.0,Townsendia montana,Mountain townsendia,S1,Track all extant and selected historical EOs
PDAPI1B1W0,G3,8214.0,Lomatium suksdorfii,Suksdorf's lomatium,S2,Track all extant and selected historical EOs
PDPGN08120,G2,8779.0,Eriogonum chrysops,Golden buckwheat,S2,Track all extant and selected historical EOs
PGPIN040F0,G4,9098.0,Pinus flexilis,Limber pine,S1S2,Track all extant and selected historical EOs
PDLNT020D0,G5,8722.0,Utricularia minor,Lesser bladderwort,S4,Track all extant and selected historical EOs
PDVIO04100,G4G5,9074.0,Viola langsdorfii,Aleutian viola,SNR,Track all extant and selected historical EOs
PDSCR0D110,G1,8984.0,Castilleja fraterna,Fraternal paintbrush,S1,Track all extant and selected historical EOs
PDROS0W031,G4T2,8910.0,Horkelia congesta ssp. congesta,Shaggy horkelia,S2,Track all extant and selected historical EOs
PDPRI04030,G3,8858.0,Douglasia laevigata,Dwarf primrose,SNR,Track all extant and selected historical EOs
PDHYD0C2S4,G4T1T2,8697.0,Phacelia lutea var. mackenzieorum,Mackenzie's phacelia,S1,Track all extant and selected historical EOs
PDRAN0L1Y6,G5T2T4,365319.0,Ranunculus orthorhynchus var. bloomeri,Bloomer's buttercup,SNR,Track all extant and selected historical EOs
PDAST7R030,G4,365345.0,Psilocarphus oregonus,Oregon woollyheads,SNR,Track all extant and selected historical EOs
PDFUM03046,G5T3,8652.0,Corydalis aquae-gelidae,Cold-water corydalis,S3,Track all extant and selected historical EOs
PMPOA200A0,G5,12804.0,Danthonia spicata,Poverty oatgrass,S2?,Track all extant and selected historical EOs
PDFAB400VA,G5T2T4Q,365298.0,Trifolium eriocephalum ssp. martinii,Martin's clover,SNR,Track all extant and selected historical EOs
PDSCR1M051,G5T5,419145.0,Rhinanthus minor ssp. groenlandicus,Little yellow-rattle,SNR,Track all extant and selected historical EOs
PMLIL020S0,G2,9217.0,Allium dictuon,Blue Mt. onion,S2,Track all extant and selected historical EOs
PDFAB0F970,G2,8595.0,Astragalus tyghensis,Tygh Valley milk-vetch,S2,Track all extant and selected historical EOs
PDSCR0D0X2,G4G5T4,8983.0,Castilleja flava var. rustica,Rustic paintbrush,S1,Track all extant and selected historical EOs
PMJUN011F1,G5T5,9198.0,Juncus hemiendytus var. abjectus,Least rush,S2?,Track all extant and selected historical EOs
PDBRA0M0F0,G4,8439.0,Caulanthus major,Slender wild cabbage,S1,Track all extant and selected historical EOs
PMLIL0V080,G2,9273.0,Fritillaria gentneri,Gentner's fritillaria,S1,Track all extant and selected historical EOs
PDSAL024J0,G5,12485.0,Salix laevigata,Polished willow,S1?,Track all extant and selected historical EOs
PDCRA02040,G5,14046.0,Crassula connata,Sand pygmyweed,SNR,Track all extant and selected historical EOs
PDMAL0K040,G3,8729.0,Iliamna latibracteata,California globe-mallow,S2,Track all extant and selected historical EOs
PDPLM07041,G4G5T3T5,8820.0,Langloisia setosissima ssp. punctata,Punctate langloisa,SNR,Track all extant and selected historical EOs
PMCYP03D90,G4,9159.0,Carex subnigricans,Dark alpine sedge,S1,Track all extant and selected historical EOs
PMCYP03AT0,G5,9149.0,Carex pluriflora,Many flowered sedge,S1,Track all extant and selected historical EOs
PMJCG02050,G5,9711.0,Triglochin striata,Three-ribbed arrow-grass,SNR,Track all extant and selected historical EOs
PMLIL0V050,G5,9271.0,Fritillaria camschatcensis,Indian rice,S1,Track all extant and selected historical EOs
PMLIL0Z021,G2T2,9278.0,Hastingsia bracteosa var. atropurpurea,Purple flowered rush-lily,S2,Track all extant and selected historical EOs
PDBOR0A1M0,G3G4,8383.0,Cryptantha leiocarpa,Seaside cryptantha,S1,Track all extant and selected historical EOs
PDBRA060Z1,G3T1Q,8421.0,Arabis koehleri var. koehleri,Koehler's rockcress,S1,Track all extant and selected historical EOs
PDFAB0F2N4,G5T2,8566.0,Astragalus sterilis,Barren milkvetch,S2,Track all extant and selected historical EOs
PDSCR1L1Y3,G5T2,9037.0,Penstemon deustus var. variabilis,Hot-rock penstemon,S1S2,Track all extant and selected historical EOs
PMPOA7Y020,G1,9344.0,Pleuropogon oregonus,Oregon semaphore grass,S1,Track all extant and selected historical EOs
PMCYP03DG0,G5,9613.0,Carex tahoensis,Tahoe sedge,S1S2,Track all extant and selected historical EOs
PDPOR04032,G4G5T4T5,8844.0,Lewisia columbiana var. rupicola,Rosy lewisia,S2,Track all extant and selected historical EOs
PDASTDT0G0,G3,8360.0,Pyrrocoma radiata,Snake River goldenweed,S3,Track all extant and selected historical EOs
PDAST660G0,G3?,8328.0,Malacothrix stebbinsii,Stebbins desert-dandelion,S2?,Track all extant and selected historical EOs
PMIRI0D0P0,G4G5,365341.0,Sisyrinchium halophilum,Nevada blue-eyed grass,SNR,Track all extant and selected historical EOs
PMPOA4Z1H0,G4,13626.0,Poa lettermanii,Letterman's bluegrass,S1,Track all extant and selected historical EOs
PMPOA49010,G5,13639.0,Munroa squarrosa,False buffalograss,SNR,Track all extant and selected historical EOs
PDAPI1B250,G1,8217.0,Lomatium cookii,Agate Desert lomatium,S1,Track all extant and selected historical EOs
PDPLM060K0,G4G5,365358.0,Ipomopsis tenuituba,Rydberg's gilia,S1?,Track all extant and selected historical EOs
PDCHE01010,G5,8515.0,Allenrolfea occidentalis,Iodine bush,S2,Track all extant and selected historical EOs
PDAPI160A0,G5,8193.0,Hydrocotyle verticillata,Whorled marsh pennywort,S1,Track all extant and selected historical EOs
PDHYD0C2E0,G3,8693.0,Phacelia inundata,Playa phacelia,S2,Track all extant and selected historical EOs
PMPOA4Z240,G5,13833.0,Poa reflexa,Nodding bluegrass,S2?,Track all extant and selected historical EOs
PDAST4M062,G5T4T5,9566.0,Helianthella uniflora var. uniflora,Rocky Mountain helianthella,SNR,Track all extant and selected historical EOs
PDSCR0D4C0,G2,9005.0,Castilleja chambersii,Chambers' paintbrush,S2,Track all extant and selected historical EOs
PDRUB0N1U1,G4G5T3T5,365325.0,Galium porrigens var. porrigens,Climbing bedstraw,SNR,Track all extant and selected historical EOs
PMPOA5T030,G5,13641.0,Sphenopholis obtusata,Prairie wedgegrass,S2?,Track all extant and selected historical EOs
PGPIN04010,G3G4,9095.0,Pinus albicaulis,Whitebark pine,S3?,Track all extant and selected historical EOs
PDBRA1M080,G3,8453.0,Lepidium davisii,Davis' peppergrass,S1,Track all extant and selected historical EOs
PMALI04041,G5T5?,9643.0,Sagittaria montevidensis ssp. calycina,Long-lobe arrowhead,S2?,Track all extant and selected historical EOs
PDGEN0R010,G4,8666.0,Cicendia quadrangularis,Timwort,S2,Track all extant and selected historical EOs
PMCYP03KP0,G5,9153.0,Carex saxatilis,Russet sedge,S1,Track all extant and selected historical EOs
PDBOR0G0J0,G4,8400.0,Hackelia mundula,Pink stickseed,S1?,Track all extant and selected historical EOs
PDGEN060G1,G4T3,13012.0,Gentiana newberryi var. newberryi,Newberry's gentian,S2,Track all extant and selected historical EOs
PDPGN083N3,G4G5,8784.0,Eriogonum lobbii,Lobb's buckwheat,S2,Track all extant and selected historical EOs
PDGRO021X0,G4,365301.0,Ribes acerifolium,Mapleleaf currant,SNR,Track all extant and selected historical EOs
PMCYP03721,G5T5,9137.0,Carex lasiocarpa var. americana,Slender sedge,S2,Track all extant and selected historical EOs
PDAST4L0F0,G5,365359.0,Helenium puberulum,Rosilla,SNR,Track all extant and selected historical EOs
PDPGN08550,G5,365316.0,Eriogonum roseum,Wand buckwheat,SNR,Track all extant and selected historical EOs
PMLIL020A0,G4,9215.0,Allium brandegeei,Brandegee's onion,SNR,Track all extant and selected historical EOs
PDAST090K0,GNA,8237.0,Agoseris elata,Tall agoseris,S1,Track all extant and selected historical EOs
PDSCR0D2Y0,G4,8999.0,Castilleja schizotricha,Split-hair paintbrush,S2,Track all extant and selected historical EOs
PDPGN0J020,G4,11930.0,Oxytheca dendroidea,Tree-lined oxytheca,SNR,Track all extant and selected historical EOs
PDBOR0G0L0,G3,8401.0,Hackelia ophiobia,Three Forks stickseed,S1,Track all extant and selected historical EOs
PDCRA0F050,G3?,9586.0,Sedella pumila,Sierra mock-stonecrop,S1,Track all extant and selected historical EOs
PMPOA6P080,G3,12845.0,Leymus flavescens,Sand wildrye,S1?,Track all extant and selected historical EOs
PDGEN0H010,G5,12924.0,Swertia perennis,Felwort,S2,Track all extant and selected historical EOs
PDFAB401X2,G4T4,8642.0,Trifolium plumosum ssp. plumosum,Plumed clover,S1S2,Track all extant and selected historical EOs
