sname,elcode,taxon_id,inat_name,last_updated,scomname,generic_name
Sebastes miniatus,AFC4A06390,64474.0,Sebastes miniatus,2026-05-06,Vermillion rockfish,
Oncorhynchus tshawytscha pop. 27,AFCHA0205J,54191.0,Oncorhynchus tshawytscha,2026-05-06,"Chinook salmon (Oregon Coast ESU, spring run)",Oncorhynchus tshawytscha
Cottus tenuis,AFC4E02240,98592.0,Cottus tenuis,2026-05-06,Slender sculpin,
Falco peregrinus anatum,ABNKD06071,117517.0,Falco peregrinus anatum,2026-05-06,American Peregrine Falcon,
Strix nebulosa,ABNSB12040,19890.0,Strix nebulosa,2026-05-06,Great Gray Owl,
Gymnorhinus cyanocephalus,ABPAV07010,8618.0,Gymnorhinus cyanocephalus,2026-05-06,Pinyon Jay,
Sitta carolinensis aculeata,ABPAZ01021,238575.0,Sitta carolinensis aculeata,2026-05-06,Slender-billed Nuthatch,
Oncorhynchus mykiss pop. 19,AFCHA0209T,47516.0,Oncorhynchus mykiss,2026-05-06,Klamath Basin redband trout,Oncorhynchus mykiss
Canachites canadensis,ABNLC09010,1289698.0,Canachites canadensis,2026-05-06,Spruce Grouse,
Asio flammeus,ABNSB13040,20315.0,Asio flammeus,2026-05-06,Short-eared Owl,
Eumetopias jubatus,AMAJC03010,41755.0,Eumetopias jubatus,2026-05-06,Northern sea lion,
Oregonichthys crameri,AFCJB56010,107869.0,Oregonichthys crameri,2026-05-06,Oregon chub,
Oncorhynchus tshawytscha pop. 19,AFCHA0205U,54191.0,Oncorhynchus tshawytscha,2026-05-06,"Chinook salmon (Middle Columbia River ESU, spring run)",Oncorhynchus tshawytscha
Catostomus tahoensis,AFCJC02210,96874.0,Catostomus tahoensis,2026-05-06,Tahoe sucker,
Lasiurus cinereus,AMACC05032,40523.0,Lasiurus cinereus,2026-05-06,Hoary bat,
Catostomus snyderi,AFCJC02200,96873.0,Catostomus snyderi,2026-05-06,Klamath largescale sucker,
Sorex preblei,AMABA01030,46365.0,Sorex preblei,2026-05-06,Preble's shrew,
Criocoris saliens,IIHEM84010,217764.0,Criocoris saliens,2026-05-06,Salien plant bug,
Monadenia chaceana,IMGASC7150,210645.0,Monadenia chaceana,2026-05-06,Chace sideband,
Hebrus buenoi,IIHEM88010,220988.0,Hebrus buenoi,2026-05-06,Bueno's velvet water bug,
Margaritifera falcata,IMBIV27020,148212.0,Margaritifera falcata,2026-05-06,Western pearlshell,
Platylygus pseudotsugae,IIHEM98010,228329.0,Platylygus pseudotsugae,2026-05-06,Douglas-fir plant bug,
Rhyacophila leechi,IITRI19390,230085.0,Rhyacophila leechi,2026-05-06,A caddisfly,
Fluminicola turbiniformis,IMGASG3120,220147.0,Fluminicola turbiniformis,2026-05-06,Turban pebblesnail,
Rhyacophila chandleri,IITRI19380,230052.0,Rhyacophila chandleri,2026-05-06,A caddisfly,
Pristiloma johnsoni,IMGAS80050,228721.0,Pristiloma johnsoni,2026-05-06,Broadwhorl tightcoil,
Moselyana comosa,IITRIC8010,225289.0,Moselyana comosa,2026-05-06,A caddisfly,
Oligophlebodes mostbento,IITRI17010,226356.0,Oligophlebodes mostbento,2026-05-06,Tombstone Prairie caddisfly,
Rhyacophila unipunctata,IITRI19090,230134.0,Rhyacophila unipunctata,2026-05-06,One-spot rhyacophilan caddisfly,
Chloealtis aspasma,IIORT12010,97554.0,Chloealtis aspasma,2026-05-06,Siskiyou short-horned grasshopper,
Namamyia plutonis,IITRIC9010,225442.0,Namamyia plutonis,2026-05-06,A caddisfly,
Sulcaria badia,NLTEST0030,231999.0,Sulcaria badia,2026-05-06,Lichen,
Buxbaumia aphylla,NBMUS1B010,159610.0,Buxbaumia aphylla,2026-05-06,Brown shield-moss,
Plagiothecium piliferum,NBMUS5J050,166995.0,Plagiothecium piliferum,2026-05-06,Hair silk moss,
Eucladium verticillatum,NBMUS2T010,162770.0,Eucladium verticillatum,2026-05-06,Lime-seep eucladium,
