SNAME,ELCODE,SCOMNAME,iNat_name
Anemone oregana var. felix,PDRAN040H1,Bog anemone,Anemoides oregana
Arabis koehleri var. koehleri,PDBRA060Z1,Koehler's rockcress,Boechera koehleri
Argynnis leto eileenae,IILEPJ6024,Great Spangled Fritillary - California subpopulation,Argynnis cybele eileenae
Argynnis leto pugetensis,IILEPJ6028,Puget Sound fritillary,Argynnis cybele pugetensis
Artemisia campestris var. wormskioldii,PDAST0S0D5,Northern wormwood,Artemisia campestris ssp. borealis
Astragalus diaphanus var. diurnus,PDFAB0F2W1,South John Day milk-vetch,Astragalus diurnus
Atriplex gmelinii var. gmelinii,PDCHE042Y0,Gmelin's saltbush,Atriplex gmelinii
Bromus sitchensis var. maritimus,PMPOA150W0,Maritime brome,Bromus maritimus
Calochortus indecorus,PMLIL0D0L0,Sexton Mt. mariposa-lily,Calochortus x indecorus
Calochortus longebarbatus var. peckii,PMLIL0D0R2,Peck's mariposa-lily,Calochortus longibarbatus var. peckii
Carex gynocrates,PMCYP035K0,Yellow bog sedge,Carex alascana
Carex tiogana,PMCYP03GP0,Tioga Pass sedge,Carex capillaris capillaris
Castilleja lutea,PDSCR0D4J0,Yellow paintbrush,Castilleja cusickii
Chaenotheca balsamconensis,NLT0042530,Lichen,Chaenotricha obscura
Codriophorus fascicularis,NBMUS6B060,Moss,Racomitrium fasciculare
Colias christina pseudochristina,IILEPA8042,Intermountain sulphur,Colias occidentalis ssp. pseudochristina
Corydalis aquae-gelidae,PDFUM03046,Cold-water corydalis,Cordyalis caseana aquae-gelidae
Cymopterus purpurascens,PDAPI0U0V0,Purple cymopterus,Vesper purpurascens
Danaus plexippus pop. 1,IILEPP2012,Western Monarch,Danaus plexippus
Destuntzia fusca,NFFUN85010,Fungus,Kjeldsenia fusca
Dicranella subulata,NBMUS280N0,Moss,Dicranellopsis subulata
Didymodon bistratosus,NBMUS30020,Moss,Zanderella purpurea
Didymodon californicus,NBMUS2C0N0,California moss,Vinealobryum californicum
Didymodon norrisii,NBMUS2C0H0,Moss,Vinealobryum norrissii
Ditrichum flexicaule,NBMUS2G0D0,Flexible cow-hair moss,Flexitrichum flexicaule
