sname,elcode,scomname,inat_name,est_id
Anemone oregana var. felix,PDRAN040H1,Bog anemone,Anemoides oregana,8864
Arabis koehleri var. koehleri,PDBRA060Z1,Koehler's rockcress,Boechera koehleri,8421
Argynnis leto eileenae,IILEPJ6024,Great Spangled Fritillary - California subpopulation,Argynnis cybele eileenae,366211
Argynnis leto pugetensis,IILEPJ6028,Puget Sound fritillary,Argynnis cybele pugetensis,366212
Artemisia campestris var. wormskioldii,PDAST0S0D5,Northern wormwood,Artemisia campestris ssp. borealis,8250
Astragalus diaphanus var. diurnus,PDFAB0F2W1,South John Day milk-vetch,Astragalus diurnus,8568
Atriplex gmelinii var. gmelinii,PDCHE042Y0,Gmelin's saltbush,Atriplex gmelinii,12083
Bromus sitchensis var. maritimus,PMPOA150W0,Maritime brome,Bromus maritimus,365926
Calochortus indecorus,PMLIL0D0L0,Sexton Mt. mariposa-lily,Calochortus x indecorus,9241
Calochortus longebarbatus var. peckii,PMLIL0D0R2,Peck's mariposa-lily,Calochortus longibarbatus var. peckii,9244
Carex gynocrates,PMCYP035K0,Yellow bog sedge,Carex alascana,9128
Carex tiogana,PMCYP03GP0,Tioga Pass sedge,Carex capillaris capillaris,12555
Castilleja lutea,PDSCR0D4J0,Yellow paintbrush,Castilleja cusickii,365363
Chaenotheca balsamconensis,NLT0042530,Lichen,Chaenotricha obscura,365381
Codriophorus fascicularis,NBMUS6B060,Moss,Racomitrium fasciculare,419951
Colias christina pseudochristina,IILEPA8042,Intermountain sulphur,Colias occidentalis ssp. pseudochristina,12784
Corydalis aquae-gelidae,PDFUM03046,Cold-water corydalis,Cordyalis caseana aquae-gelidae,8652
Cymopterus purpurascens,PDAPI0U0V0,Purple cymopterus,Vesper purpurascens,8191
Danaus plexippus pop. 1,IILEPP2012,Western Monarch,Danaus plexippus,366213
Destuntzia fusca,NFFUN85010,Fungus,Kjeldsenia fusca,9948
Dicranella subulata,NBMUS280N0,Moss,Dicranellopsis subulata,419952
Didymodon bistratosus,NBMUS30020,Moss,Zanderella purpurea,419953
Didymodon californicus,NBMUS2C0N0,California moss,Vinealobryum californicum,419954
Didymodon norrisii,NBMUS2C0H0,Moss,Vinealobryum norrissii,10404
Ditrichum flexicaule,NBMUS2G0D0,Flexible cow-hair moss,Flexitrichum flexicaule,13827
Dodecatheon pulchellum var. shoshonense,PDPRI030DC,Darkthroat shootingstar,Primula pauciflora var. shoshonensis,11991
Douglasia laevigata,PDPRI04030,Dwarf primrose,Androsace laevigata,8858
Entocybe nitida,NFAGA1X020,Pine pinkgill,Entoloma nitidum,365644
Entocybe trachyospora var. vinacea,NFAGA1X031,Fungus,Entoloma trychyosporum,420362
Erigeron davisii,PDAST3M1A1,Engelmann's daisy,"Erigeron disparipilus, E. davisii may not be in iNaturalist",8297
Eriogonum crosbyae var. crosbyae,PDPGN086F0,Crosby's buckwheat,Eriogonum crosbyae,8799
Eriogonum crosbyae var. mystrium,PDPGN084W2,Pueblo Mountains Buckwheat,Eriogonum crosbyae,13644
Falcipennis canadensis,ABNLC09010,Spruce Grouse,Canachites canadensis,6415
Festuca rubra ssp. mediana,PMPOA2V0QH,Median red fescue,Not in iNaturalist,13879
Gautieria magnicellaris,NFSM000075,Fungus,Gautieria macrocoilia,9996
Hastingsia bracteosa var. atropurpurea,PMLIL0Z021,Purple flowered rush-lily,Hastingsia atropurpurea,9278
Hastingsia bracteosa var. bracteosa,PMLIL0Z022,Large-flowered rush-lily,Hastingsia bracteosa,9279
Hebeloma occidentale,NFNHP00029,Fungus,Hebeloma palustre,10038
Helianthella uniflora var. uniflora,PDAST4M062,Rocky Mountain helianthella,Helianthella uniflora,9566
Hygrohypnum alpinum,NBMUS3S100,Moss,Platyhypnum alpinum,12025
Hygrohypnum cochleariifolium,NBMUS3S040,Moss,Platyhypnum cochleariifolium,365372
Hypnum lindbergii,NBMUS3V0C0,Lindberg's plait moss,Calliergonella lindbergii,365373
Hypnum pratense,NBMUS3V0F0,Meadow plait moss,Stereodon pratensis,365374
Juncus mexicanus,PMJUN011X0,Mexican rush,Juncus balticus mexicanus,13840
Kobresia myosuroides,PMCYP0F010,Bellard's kobresia,Carex myosuroides,9176
Kobresia simpliciuscula,PMCYP0F030,Simple kobresia,Carex simpliciuscula,9175
Lampetra ayresii,AFBAA02030,Western River lamprey,Occidentis ayresii,6772
Lampetra pacifica,AFBAA02170,Pacific brook lamprey,Occidentis pacifica,399193
Lipocarpha aristulata,PMCYP0H060,Aristulate lipocarpha,Not in iNat,9177
Lipocarpha micrantha,PMCYP0H040,Small-flowered lipocarpha,Cyperus subsquarrosus,9572
Lipocarpha occidentalis,PMCYP0H070,Western halfchaff sedge,Cyperus hemioccidentalis,9178
Lycaena mariposa candia,IILEPC115C,Candace's copper,Tharsalea mariposa candia,366221
Lycaena mariposa junia,IILEPC115B,June's copper,Tharsalea mariposa junia,366220
Lycaena mariposa marya,IILEPC1151,Mary's copper butterfly,Tharsalea mariposa marya,7429
Martes caurina pop. 1,AMAJF01015,Pacific Marten - Interior Population,Martes caurina caurina,13969
Melanelia commixta,NLT0017780,Intermingled camouflage lichen,Cetrariella commixta,13654
Monadenia fidelis columbiana,IMGASC7036,Columbia sideband,Monadenia fidelis fidelis,7926
Nabicula subcoleoptrata,IIHEM72020,Black damsel bug,Nabis subcoleoptratus,7309
Oceanodroma furcata,ABNDC04010,Fork-tailed Storm-Petrel,Hydrobates furcatus,6325
Ogaridiscus subrupicola,IMGAS80130,Southern tightcoil,Pristiloma subrupicola,7897
Omphalina isabellina,NFNHP00057,Fungus,Not in iNaturalist,10181
Oreohelix strigosa delicata,IMGASB532A,Blue mountainsnail,Oreohelix strigosa,7915
Paraleuctra andersoni,IIPLE0D010,Oregon needlefly,Pomoleuctra andersoni,7699
Phacelia bicolor var. bicolor,PDHYD0C0E0,Two color phacelia,Phacelia bicolor,365303
Physaria geyeri ssp. geyeri,PDBRA22093,Geyer's twinpod,Physaria geyeri,12882
Physcomitrella readeri,NBMUS5D030,Moss,Physcomitrium readeri,419964
Pisidium ultramontanum,IMBIV51220,Montane peaclam,Euglesa ultramontanus,7886
Plagiobryum zieri,NBMUS5G020,Plagiobryum moss,Ptychostomum zieri,10420
Plebejus icarioides fenderi,IILEPG801C,Fender's blue,Icaria icarioides ssp. fenderi,7479
Plebejus podarce klamathensis,IILEPH0033,Gray blue,Agriades podarce ssp. klamathensis,13090
Plebejus saepiolus littoralis,IILEPG6015,Coastal greenish blue,Icaria saepiolus ssp. littoralis,7477
Poa pratensis ssp. alpigena,PMPOA4Z212,Alpine Kentucky bluegrass,Poa alpigena,366018
Polytrichastrum longisetum,NBMUS5T040,Long-stalked haircap moss,Polytrichum longisetum,418249
Polytrichastrum sexangulare var. sexangulare,NBMUS5T090,Northern haircap moss,Polytrichastrum sexangulare,10455
Polytrichastrum sexangulare var. vulcanicum,NBMUS5T0D0,Moss,Polytrichastrum sphaerothecium,8126
Potamogeton fibrillosus,PMPOT030B1,Fibrous pondweed,Potamogeton foliosus ssp. fibrillosus,9349
Pseudocalliergon angustifolium,NBMUS9Y020,Moss,Drepanocladus angustifolius,419965
Pseudocalliergon trifarium,NBMUS1F0A0,Three-ranked spear moss,Drepanocladus trifarius,8101
Rhinanthus minor ssp. groenlandicus,PDSCR1M051,Little yellow-rattle,Rhinanthus groenlandicus,419145
Rhizopogon colossus var. nigromaculatus,NFBOL0B0S1,Fungus,Rhizopogon villosulus,420004
Rhizopogon olivaceotinctus,NFSM000007,Fungus,Alpova olivaceotinctus,9780
Rosulabryum flaccidum,NBMUS8Q010,Moss,Ptychostomum moravicum,419968
Rosulabryum gemmascens,NBMUS1A210,Moss,Bryum gemmascens,13693
Sagittaria montevidensis ssp. calycina,PMALI04041,Long-lobe arrowhead,Sagittaria calycina,9643
Sclerolinon digynum,PDLIN04010,Northwestern yellow flax,Linum digynum,12091
Serratella velmae,IIEPH10140,A spiny crawler mayfly,Ephemerella velmae,7258
Silene hookeri ssp. serpentinicola,PDCAR0U2B0,Serpentine catchfly,Not in iNaturalist,11981
Solorina spongiosa,NLT0028030,Fringed chocolate chip lichen,Pseudosolorina spongiosa,12456
Spartina pectinata,PMPOA5S090,Prairie cordgrass,Sporobolus michauxianus,13849
Speyeria coronis coronis,IILEPJ6071,Coronis fritillary,Argynnis coronis coronis,7487
Speyeria zerene bremnerii,IILEPJ608A,Valley silverspot,Argynnis zerene bremnerii,7490
Speyeria zerene hippolyta,IILEPJ6087,Oregon silverspot,Argynnis zerene hippolyta,7489
Sphaeromeria cana,PDAST8S020,Gray tansy,Artemisia albicans,365340
Squamanita paradoxa,NFNHP00084,Fungus,Dissoderma paradoxum,10591
Stellaria borealis ssp. borealis,PDCAR0X171,Boreal starwort,Stellaria borealis,365295
Thelenella muscorum var. octospora,NLT0008082,Lichen,Chromatochlamys muscorum octospora,10294
Thomomys bottae detumidus,AMAFC01021,Pistol River pocket gopher,Megascapheus laticeps,7030
Tortella tortuosa var. tortuosa,NBMUS7K061,Moss,Tortella tortuosa,12983
Trichostomum tenuirostre var. tenuirostre,NBMUS7Q110,Moss,Chionoloma tenuirostre,12615
