ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
KPHAE0U040,G4,12777.0,Laminaria longipes,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE21010,G5,12731.0,Scytothamnus fasciculatus,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE02010,G3G4,12745.0,Dictyota binghamiae,Brown marine alga,S2,Track all extant and selected historical EOs
KPHAE07010,G4,12747.0,Saundersella simplex,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE09010,G5,12748.0,Coilodesme bulligera,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE0A010,G5,12749.0,Dictyosiphon foeniculaceus,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE0U020,G3,12753.0,Laminaria ephemera,Brown marine alga,S2,Track all extant and selected historical EOs
KPHAE0B020,G2,12971.0,Pylaiella unilateralis,Brown marine alga,S2,Track all extant and selected historical EOs
KPHAE0N010,GNR,12751.0,Alaria marginata,Winged kelp,S2,Track all extant and selected historical EOs
KPHAE01020,G3G4,12744.0,Desmarestia dudresnayi ssp. foliaceae,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE22010,G5,12732.0,Battersia plumigera,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE0H010,G5,12730.0,Planosiphon gracilis,Brown marine alga,S1,Track all extant and selected historical EOs
KPHAE0Z030,GNR,12754.0,Macrocystis pyrifera,Giant kelp,S2,Track all extant and selected historical EOs
